/* adminhtml menu */
"Daily Deals","Daily Deals"
"Add Deal","Add Deal"
"Manage Deals","Manage Deals"
"Manage Deals by Days","Manage Deals by Days"
"Deal Scheduler","Deal Scheduler"
"Configuration","Configuration"
"Daily Deal Pro","Daily Deal Pro"
"Manage Deal by Day","Manage Deal by Day"
"Deal Generator","Deal Generator"
"All Deals","All Deals"
"Manage Deals by Day","Manage Deals by Day"
"Reset default message","Reset default message"
"Add Individual Deal","Add Individual Deal"

/* adminhtml controller */
"Email can not send!","Email can not send!"
"'Active To' must be equal or more than 'Active From'","'Active To' must be equal or more than 'Active From'"
"You can not change product because deal have order","You can not change product because deal have order"
"Have another deal with this product in time.Please select other deal time!","Have another deal with this product in time.Please select other deal time!"
"'To Date' must be equal or more than 'From Date'","'To Date' must be equal or more than 'From Date'"
"Enabled","Enabled"
"Disabled","Disabled"
"Yes","Yes"
"No","No"
"Queued","Queued"
"Running","Running"
"Ended","Ended"
"Randomly","Randomly"
"Rotators","Rotators"
"Sequentially","Sequentially"
"Daily Deals Ordered","Daily Deals Ordered"
"Deal does not exist","Deal does not exist"
"Unable to find deal to save","Unable to find deal to save"
"Deal was saved successfully!","Deal was saved successfully!"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Refresh Deal was successfully!","Refresh Deal was successfully!"
"Deal Scheduler was saved successfully!","Deal Scheduler was saved successfully!"
"Generate %s deals successful!","Generate %s deals successful!"
"Unable to find Deal Scheduler to save","Unable to find Deal Scheduler to save"

/* adminhtml block */
"Please specify at least start or end date.","Please specify at least start or end date."
"No deal found in this day.","No deal found in this day."
"Active From","Active From"
"Active To","Active To"
"Deal Price","Deal Price"
"Deal Qty","Deal Qty"
"Featured","Featured"
"Featured Deal","Featured Deal"
"Status","Status"
"Manage Deal by Days","Manage Deal by Days"
"Deal Information","Deal Information"
"Calculated product price during Social Daily Deal","Calculated product price during Social Daily Deal"
"Store View","Store View"
"Disable product after deal ends","Disable product after deal ends"
"Deal Report","Deal Report"
"Impression","Impression"
"Number of Impressions","Number of Impressions"
"Sold Qty","Sold Qty"
"Daily Deal Information","Daily Deal Information"
"Select Product","Select Product"
"Save deal","Save deal"
"Delete deal","Delete deal"
